"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            With employer-based health insurance","326,315","±10,874","61,560","±3,896","473,271","±13,374","156,763","±6,749","2,923,847","±28,648","468,941","±10,718","308,641","±10,584","69,848","±4,218","50,743","±4,043","1,233,434","±23,982","720,451","±16,973","116,237","±5,729","159,973","±7,640","979,719","±15,970","540,500","±12,904","263,582","±7,772","215,808","±8,126","300,798","±10,243","254,380","±11,595","105,276","±5,351","439,452","±11,602","658,460","±15,413","825,314","±13,996","519,132","±9,163","160,488","±6,774","439,711","±9,467","82,178","±5,161","145,089","±5,659","229,380","±10,154","117,290","±5,241","759,318","±16,554","113,303","±6,593","1,472,633","±19,364","698,680","±18,162","68,364","±4,535","903,317","±16,126","226,964","±7,013","372,760","±10,884","1,032,114","±16,762","86,835","±5,714","348,814","±11,029","60,386","±3,595","475,439","±12,609","1,792,692","±30,045","332,244","±10,737","54,860","±3,911","609,088","±12,873","669,539","±13,644","103,486","±5,293","507,015","±10,093","40,934","±3,540","89,732","±6,257"
"            With direct-purchase health insurance","105,828","±6,086","11,785","±1,872","127,656","±7,162","50,925","±4,613","923,722","±17,599","140,923","±6,914","79,213","±5,433","16,095","±2,222","18,272","±2,681","660,315","±16,118","246,672","±10,466","29,247","±2,697","44,627","±3,765","226,765","±8,143","121,747","±7,159","65,363","±3,618","63,275","±4,318","54,212","±4,472","68,389","±5,219","34,114","±3,143","105,545","±5,969","165,893","±7,563","186,847","±7,407","119,447","±5,920","58,155","±5,035","111,513","±6,009","28,324","±3,060","43,530","±3,227","49,868","±4,236","29,568","±2,957","168,394","±8,055","28,500","±2,890","410,892","±12,672","252,230","±9,730","20,678","±2,579","183,593","±7,315","67,666","±4,628","96,002","±6,719","245,896","±8,037","31,683","±3,587","116,982","±6,562","22,293","±2,500","148,835","±7,400","584,279","±18,814","105,284","±5,455","18,021","±2,017","147,057","±7,429","147,469","±7,711","18,194","±2,480","113,173","±5,435","13,696","±2,041","54,997","±4,792"
"            With Medicare coverage","14,475","±2,000","1,902","±896","14,912","±2,588","9,320","±1,560","96,044","±5,807","14,056","±1,978","10,170","±1,945","2,450","±889","1,763","±801","49,015","±4,877","27,504","±3,220","2,879","±824","7,099","±1,702","34,122","±3,296","22,508","±2,787","12,782","±1,623","8,183","±1,566","13,453","±1,824","14,798","±2,027","4,687","±1,028","14,369","±2,571","22,067","±3,046","36,510","±3,693","22,290","±2,481","9,246","±1,728","20,217","±2,624","3,581","±928","6,062","±1,100","5,858","±1,572","4,876","±1,174","23,481","±3,195","6,223","±1,810","53,496","±3,799","29,906","±3,561","1,841","±651","42,195","±4,110","10,790","±1,482","12,619","±1,984","44,555","±3,500","3,023","±943","20,162","±2,668","3,315","±1,071","15,178","±2,419","54,933","±4,379","8,484","±1,441","3,194","±822","20,815","±2,386","16,752","±2,332","4,517","±1,181","21,160","±2,838","2,078","±797","6,465","±2,666"
"            With Medicaid/means-tested public coverage","72,755","±5,035","29,364","±2,912","204,707","±11,246","91,199","±5,400","1,719,226","±27,614","203,716","±9,776","144,316","±8,307","31,475","±3,203","26,439","±4,700","357,216","±13,249","158,897","±9,354","44,252","±3,731","60,737","±4,122","403,508","±12,431","214,304","±8,852","109,353","±5,551","43,115","±3,855","181,643","±8,633","193,706","±10,262","40,855","±3,254","173,435","±8,896","301,237","±11,120","404,734","±10,417","210,140","±8,105","48,801","±4,874","111,234","±6,009","36,770","±3,094","46,404","±3,483","94,007","±5,572","32,815","±3,606","247,163","±11,006","109,521","±6,899","965,349","±19,633","197,935","±9,492","17,876","±2,400","421,516","±12,293","98,633","±5,160","193,622","±9,217","418,026","±12,611","35,731","±4,133","107,944","±5,915","11,855","±1,816","141,130","±7,456","370,523","±13,592","54,117","±4,183","29,151","±2,777","206,015","±7,314","262,703","±9,813","59,955","±4,429","171,625","±7,528","7,629","±1,525","234,343","±10,390"
"        No health insurance coverage","121,822","±7,338","22,273","±2,259","162,187","±7,906","57,043","±4,332","667,733","±16,306","101,911","±6,826","49,185","±4,639","16,623","±2,949","6,881","±1,954","577,140","±14,878","309,460","±12,221","12,641","±1,877","39,839","±3,516","221,378","±9,885","120,057","±7,859","37,204","±3,518","65,593","±4,053","63,622","±4,566","76,116","±6,395","25,675","±3,202","80,469","±5,898","47,182","±3,828","133,983","±7,075","72,272","±4,688","78,145","±5,869","144,859","±7,166","20,091","±2,282","34,395","±3,255","87,551","±5,900","20,334","±3,031","164,444","±8,769","43,852","±4,697","232,459","±10,580","253,064","±11,036","13,246","±2,314","170,397","±8,463","120,199","±5,233","77,800","±6,321","163,039","±8,701","13,401","±2,953","130,672","±7,722","18,265","±2,250","167,476","±8,124","1,162,862","±23,314","71,090","±5,927","5,938","±1,213","145,251","±8,001","149,001","±7,964","27,287","±2,999","72,744","±4,439","18,525","±2,462","44,899","±5,002"
"    Did not work:","681,865","±14,569","73,799","±3,947","858,455","±16,415","424,734","±10,895","4,848,212","±37,530","509,401","±12,563","366,485","±10,628","96,520","±5,752","65,387","±5,795","2,585,716","±30,809","1,270,480","±20,103","148,678","±6,122","194,360","±7,682","1,317,521","±20,955","696,035","±14,177","244,471","±7,797","260,864","±8,015","582,810","±11,421","630,764","±16,253","142,357","±6,693","601,078","±14,400","684,006","±13,980","1,150,825","±16,954","430,732","±9,638","411,035","±10,684","662,384","±12,291","103,705","±5,693","147,273","±5,672","382,806","±11,805","126,034","±6,224","965,208","±19,214","284,773","±7,676","2,391,144","±27,552","1,229,969","±20,961","53,978","±3,806","1,218,381","±21,787","492,742","±8,784","453,446","±10,539","1,370,369","±18,738","111,720","±6,598","611,659","±11,757","67,874","±3,502","827,382","±14,293","3,404,940","±36,117","296,565","±6,985","57,576","±3,614","892,189","±17,211","838,871","±13,554","278,738","±7,958","509,509","±9,721","51,217","±4,488","706,453","±12,436"
"        With health insurance coverage","556,214","±13,245","62,163","±3,925","704,101","±15,391","369,922","±9,757","4,307,286","±37,359","443,933","±11,844","332,391","±10,812","85,884","±5,508","60,320","±5,807","2,063,192","±28,186","987,860","±15,927","136,527","±5,625","170,599","±6,644","1,157,594","±20,224","612,982","±13,694","220,236","±7,437","210,456","±7,331","538,178","±11,138","567,072","±15,086","126,115","±6,147","531,791","±12,559","655,305","±13,302","1,066,730","±16,028","389,945","±9,004","325,921","±9,382","552,373","±11,066","88,404","±5,150","126,438","±5,195","308,453","±10,677","116,196","±6,020","848,628","±17,871","245,994","±7,139","2,182,135","±25,472","1,016,216","±18,353","47,695","±3,706","1,091,751","±20,253","394,978","±8,505","408,513","±10,415","1,243,706","±18,620","103,610","±6,570","508,056","±11,988","53,963","±3,404","679,803","±13,945","2,401,295","±28,212","255,720","±6,816","54,950","±3,407","792,973","±16,865","746,444","±12,201","258,401","±8,008","463,129","±9,502","40,864","±3,427","665,715","±11,714"
"            With employer-based health insurance","213,016","±8,948","24,088","±2,491","272,287","±8,963","117,646","±5,266","1,578,058","±22,791","185,822","±7,779","135,691","±6,525","36,509","±3,786","15,830","±2,466","767,203","±19,621","449,310","±11,398","52,874","±4,057","64,451","±4,031","479,615","±11,413","232,412","±7,921","82,243","±4,601","89,991","±5,152","162,678","±6,575","162,076","±7,439","38,832","±3,000","232,548","±9,358","253,051","±8,542","413,933","±10,273","151,808","±5,029","107,664","±5,589","215,641","±7,068","28,469","±2,749","49,465","±3,391","123,913","±5,798","45,885","±3,871","398,673","±11,074","67,826","±4,501","778,795","±18,169","405,583","±12,551","17,616","±1,834","400,055","±12,038","138,317","±4,678","137,805","±6,087","497,557","±12,178","35,255","±3,601","199,831","±8,476","17,699","±2,231","263,524","±9,520","1,135,520","±20,380","139,518","±5,621","16,755","±2,167","336,663","±10,706","301,602","±9,402","83,727","±4,692","183,590","±5,775","16,364","±1,938","95,928","±6,736"
"            With direct-purchase health insurance","94,023","±5,880","5,773","±1,102","114,036","±6,241","49,248","±4,026","685,390","±16,568","76,662","±4,907","44,618","±3,622","12,065","±1,817","12,616","±2,930","526,579","±14,063","178,378","±7,320","20,931","±2,264","33,404","±3,122","164,178","±7,342","82,094","±5,018","33,744","±2,902","45,178","±3,241","49,720","±3,611","66,424","±5,189","18,176","±2,149","81,752","±5,739","95,568","±4,319","137,964","±6,533","59,492","±3,753","55,935","±4,638","96,049","±5,949","16,748","±2,287","25,400","±2,706","48,027","±4,196","21,381","±2,201","131,652","±7,015","22,953","±3,087","325,506","±11,893","208,002","±9,376","10,803","±1,652","134,707","±5,504","61,231","±3,657","61,207","±4,572","195,737","±8,235","18,169","±3,104","95,588","±5,175","13,078","±1,706","114,611","±6,294","473,938","±13,319","51,332","±3,792","8,639","±1,457","108,032","±5,833","122,040","±6,343","24,550","±2,735","76,578","±4,103","8,877","±1,881","86,115","±6,192"
"            With Medicare coverage","140,007","±6,935","7,131","±1,370","87,016","±5,336","90,380","±5,205","422,539","±11,147","52,288","±4,216","51,285","±4,180","14,993","±2,131","8,058","±1,852","342,413","±13,581","177,231","±7,434","14,266","±2,013","30,587","±3,339","167,116","±7,521","120,170","±5,853","41,857","±3,222","40,186","±2,892","122,308","±5,495","109,860","±6,442","29,284","±2,947","77,632","±4,967","103,070","±5,344","202,278","±7,527","58,325","±3,528","82,183","±4,665","124,959","±5,629","14,638","±1,786","24,977","±2,786","41,286","±4,296","26,964","±2,713","117,159","±6,975","40,574","±3,571","305,988","±10,910","202,642","±8,014","7,589","±1,403","204,706","±7,477","84,174","±4,111","66,696","±4,258","224,489","±7,946","20,097","±2,875","113,145","±6,359","11,483","±1,863","135,931","±6,250","336,923","±11,243","26,383","±2,831","13,574","±1,751","114,972","±6,597","101,353","±5,515","57,149","±3,494","89,071","±4,452","11,074","±1,865","127,711","±5,356"
"            With Medicaid/means-tested public coverage","216,212","±9,232","29,467","±3,188","311,943","±13,587","186,370","±7,376","2,106,930","±19,803","174,894","±8,842","157,567","±8,862","36,957","±4,036","31,983","±4,520","682,976","±18,744","328,063","±12,232","50,936","±3,798","70,011","±4,532","492,012","±14,608","279,445","±11,171","104,583","±5,157","70,637","±5,011","299,091","±9,703","335,679","±13,378","67,151","±5,234","225,522","±9,557","333,215","±10,223","521,811","±13,832","172,757","±7,342","150,933","±6,974","199,790","±8,282","41,829","±3,446","52,349","±3,983","131,742","±7,481","38,315","±3,049","333,923","±11,777","145,785","±6,513","1,180,563","±23,146","364,886","±11,449","18,067","±2,360","510,620","±13,074","161,894","±6,813","207,669","±8,884","581,562","±13,889","53,366","±5,432","185,071","±7,261","19,515","±2,106","266,269","±10,654","716,352","±21,262","64,671","±4,277","28,495","±2,612","281,363","±11,291","316,877","±10,118","142,584","±7,192","208,887","±6,957","12,447","±1,903","435,159","±11,595"
"        No health insurance coverage","125,651","±7,733","11,636","±1,423","154,354","±9,727","54,812","±5,198","540,926","±15,794","65,468","±5,330","34,094","±3,477","10,636","±2,121","5,067","±1,097","522,524","±14,372","282,620","±10,027","12,151","±2,019","23,761","±2,883","159,927","±8,511","83,053","±5,095","24,235","±2,895","50,408","±3,844","44,632","±4,193","63,692","±5,173","16,242","±2,620","69,287","±5,968","28,701","±4,019","84,095","±4,912","40,787","±3,588","85,114","±6,332","110,011","±7,171","15,301","±2,309","20,835","±2,310","74,353","±5,511","9,838","±1,805","116,580","±7,190","38,779","±3,881","209,009","±9,894","213,753","±9,498","6,283","±1,515","126,630","±7,489","97,764","±4,341","44,933","±3,761","126,663","±7,625","8,110","±1,881","103,603","±6,595","13,911","±1,987","147,579","±7,812","1,003,645","±22,370","40,845","±4,235","2,626","±780","99,216","±5,981","92,427","±5,802","20,337","±2,662","46,380","±4,146","10,353","±2,561","40,738","±4,759"
