"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            With health insurance coverage","42,934","±2,916","5,237","±1,099","50,602","±3,622","26,656","±2,515","312,539","±7,530","44,478","±2,957","40,977","±2,657","9,321","±1,402","7,331","±1,159","199,155","±6,209","72,805","±3,600","18,022","±1,951","12,476","±1,758","107,538","±4,100","47,964","±3,482","30,148","±2,030","33,228","±2,262","33,112","±2,137","48,910","±3,057","12,028","±1,441","67,648","±3,776","69,823","±3,637","59,444","±3,577","40,090","±2,222","27,073","±2,404","52,340","±3,262","10,027","±1,233","22,678","±1,763","27,577","±2,845","12,128","±1,432","107,082","±4,047","19,444","±2,154","200,521","±6,758","71,445","±3,751","8,154","±875","90,305","±4,324","41,799","±2,802","28,450","±2,689","118,104","±4,132","10,178","±1,260","37,355","±2,653","9,518","±1,237","58,000","±3,250","224,141","±6,091","18,784","±1,897","7,008","±963","80,562","±4,067","50,490","±3,513","12,620","±1,327","39,371","±2,258","7,038","±1,085","21,075","±2,103"
"                With employer-based health insurance","27,121","±2,392","3,976","±1,078","28,087","±2,486","14,601","±1,616","193,024","±5,724","24,430","±2,223","31,403","±2,565","7,203","±1,307","6,058","±1,019","113,189","±5,081","46,006","±3,194","14,081","±1,830","5,942","±1,310","70,898","±3,734","28,683","±2,464","15,554","±1,465","16,975","±1,921","21,077","±2,084","29,586","±2,355","7,230","±1,091","51,414","±3,212","52,944","±3,442","41,601","±3,237","22,931","±1,954","15,415","±2,072","30,963","±2,557","4,425","±1,008","11,266","±1,383","20,126","±2,531","8,433","±941","80,017","±3,573","11,671","±1,385","146,036","±5,409","43,235","±2,886","3,874","±811","60,904","±3,637","23,095","±1,993","16,958","±2,314","78,230","±3,515","6,664","±1,055","21,403","±2,254","4,196","±849","33,515","±2,564","134,041","±4,955","12,293","±1,300","4,076","±928","54,384","±3,706","32,395","±2,691","8,317","±1,072","23,121","±1,559","4,399","±1,001","10,037","±1,447"
"                With direct-purchase health insurance","13,144","±1,540","879","±409","11,417","±1,541","8,783","±1,239","72,871","±4,098","12,478","±1,622","8,814","±1,304","2,366","±817","1,037","±420","45,652","±2,978","18,362","±1,881","4,252","±1,178","4,131","±879","29,456","±2,337","14,613","±1,822","12,964","±1,287","13,676","±1,577","10,875","±1,626","13,401","±1,776","2,901","±908","15,381","±1,863","14,958","±1,621","17,304","±1,687","14,902","±1,156","8,307","±1,420","18,599","±2,303","3,946","±816","9,481","±1,133","6,381","±1,336","3,113","±778","23,532","±2,137","4,317","±1,051","41,948","±3,086","22,203","±2,263","3,237","±621","23,299","±1,969","15,302","±1,789","9,065","±1,423","36,278","±2,570","2,169","±742","11,462","±1,445","4,534","±892","18,364","±1,913","57,376","±3,677","5,244","±1,025","2,195","±643","22,522","±1,984","13,654","±1,506","3,399","±893","13,071","±1,346","2,656","±842","4,599","±931"
"                With Medicare coverage","38,584","±2,771","4,300","±989","43,736","±3,395","24,710","±2,335","245,693","±6,672","37,543","±2,764","31,884","±2,153","7,143","±1,050","5,279","±944","170,650","±6,120","63,218","±3,292","14,781","±1,864","11,728","±1,667","87,852","±3,699","41,163","±3,249","28,119","±1,996","29,414","±2,159","27,318","±2,127","41,575","±2,803","10,286","±1,334","54,151","±3,276","55,212","±3,324","51,928","±3,277","34,689","±2,056","24,206","±2,131","46,195","±3,036","9,193","±1,201","19,531","±1,595","21,979","±2,349","10,514","±1,381","88,089","±3,506","16,601","±2,128","153,819","±6,480","62,633","±3,412","7,250","±805","77,259","±3,953","36,691","±2,733","24,364","±2,379","96,612","±4,003","8,409","±1,112","33,928","±2,599","8,778","±1,167","52,350","±2,843","190,820","±5,937","16,213","±1,771","6,003","±802","67,817","±3,665","41,859","±3,217","11,311","±1,182","32,964","±1,968","6,074","±952","17,202","±1,757"
"                With Medicaid/means-tested public coverage","1,908","±646","508","±324","3,486","±1,355","1,994","±619","19,242","±2,363","2,016","±681","1,993","±639","368","±209","280","±200","9,579","±1,412","4,323","±903","1,086","±490","466","±248","4,261","±937","1,827","±595","1,880","±508","1,510","±426","2,011","±575","2,456","±788","582","±328","3,757","±810","3,520","±926","3,124","±741","1,604","±456","1,042","±416","2,494","±677","535","±310","1,392","±457","1,141","±494","196","±177","5,482","±1,046","1,142","±517","11,243","±1,775","4,595","±1,152","408","±274","3,433","±926","1,810","±527","1,436","±613","5,600","±979","568","±305","2,797","±914","858","±399","3,349","±716","14,727","±1,937","697","±365","523","±285","3,690","±877","2,615","±751","557","±443","1,848","±445","667","±378","2,482","±753"
"            No health insurance coverage","201","±307","253","±279","1,173","±655","147","±144","9,352","±1,832","501","±369","749","±516","0","±265","178","±173","5,922","±1,365","1,289","±681","438","±413","92","±99","1,606","±665","349","±271","276","±217","115","±165","119","±130","977","±508","126","±124","1,210","±690","252","±339","442","±365","290","±221","371","±324","76","±69","64","±106","123","±136","484","±397","30","±48","2,264","±958","477","±361","4,048","±1,205","753","±468","58","±74","1,239","±691","322","±236","278","±280","631","±289","207","±258","216","±200","94","±163","256","±183","4,175","±1,146","331","±427","42","±53","1,202","±493","610","±395","611","±539","182","±167","150","±149","107","±133"
"    Worked less than full-time, year-round:","842,163","±13,986","174,445","±5,034","1,164,350","±16,174","520,074","±12,293","7,405,105","±39,423","1,085,280","±14,189","756,156","±13,082","168,574","±5,369","113,959","±5,005","3,404,056","±31,513","1,675,461","±17,508","250,330","±8,361","344,934","±7,513","2,555,272","±23,452","1,321,245","±17,195","644,268","±8,954","562,665","±9,729","793,860","±11,937","801,267","±12,567","294,554","±7,099","1,049,609","±13,416","1,458,792","±15,572","2,082,082","±17,271","1,196,796","±13,153","468,497","±11,221","1,159,601","±15,311","232,058","±6,308","372,522","±6,178","515,895","±11,627","288,748","±6,907","1,592,127","±17,155","364,475","±9,973","3,558,675","±27,763","1,851,795","±20,386","148,646","±4,014","2,303,643","±21,427","669,772","±11,525","877,189","±12,376","2,528,127","±20,315","232,098","±6,154","856,362","±14,474","162,178","±4,544","1,189,620","±17,322","4,312,209","±33,957","565,634","±10,579","157,661","±4,413","1,433,582","±16,935","1,442,544","±15,699","308,504","±6,782","1,255,971","±12,975","117,377","±4,388","453,942","±9,943"
"        18 to 64 years:","782,223","±13,527","165,073","±4,951","1,069,574","±16,511","471,237","±11,926","6,939,324","±37,618","1,008,897","±13,739","688,554","±12,733","153,702","±5,176","104,646","±4,872","3,063,272","±28,722","1,570,218","±16,426","225,163","±7,953","322,262","±6,955","2,368,415","±22,028","1,214,895","±16,907","574,515","±8,292","509,465","±9,660","734,136","±11,461","744,818","±11,871","263,634","±6,315","955,972","±12,549","1,336,331","±14,973","1,941,011","±16,763","1,095,804","±13,099","430,298","±10,418","1,061,357","±14,848","208,365","±6,127","331,977","±6,068","478,289","±10,790","259,703","±6,229","1,453,890","±17,259","336,230","±9,885","3,287,459","±26,089","1,705,774","±19,572","131,892","±3,778","2,112,164","±20,188","613,151","±11,508","811,331","±12,246","2,291,954","±18,694","216,797","±5,995","788,402","±14,530","142,604","±4,301","1,102,184","±16,442","4,018,469","±33,412","534,181","±10,359","140,360","±4,067","1,311,057","±16,240","1,348,683","±15,277","284,528","±6,187","1,152,076","±12,758","109,239","±4,376","433,940","±9,765"
"            With health insurance coverage","534,135","±10,401","105,205","±3,800","755,926","±15,493","282,473","±10,693","4,608,548","±30,992","708,187","±12,537","556,276","±11,002","122,854","±4,171","88,568","±4,640","1,813,833","±22,403","957,554","±16,939","188,749","±7,332","207,654","±6,355","1,743,854","±20,479","858,687","±15,249","456,173","±7,703","362,621","±8,539","491,210","±9,570","467,232","±9,113","203,815","±6,043","727,873","±10,840","1,219,507","±15,326","1,452,679","±16,239","903,035","±11,154","264,236","±8,363","757,397","±12,499","142,904","±5,564","252,178","±5,620","287,416","±10,376","199,076","±5,480","1,102,743","±15,165","215,559","±7,620","2,556,396","±25,279","1,127,611","±17,404","108,562","±3,825","1,586,753","±15,763","369,987","±10,065","541,967","±10,721","1,809,434","±18,992","167,232","±5,479","513,279","±11,624","108,078","±3,824","767,669","±14,384","2,264,509","±23,670","392,401","±9,403","118,174","±3,724","959,702","±15,035","949,460","±15,467","193,288","±6,172","940,740","±11,908","74,939","±3,474","356,391","±8,792"
"                With employer-based health insurance","389,962","±9,790","75,698","±3,769","464,295","±13,428","197,386","±8,167","3,116,316","±28,792","474,325","±11,190","408,965","±8,741","83,663","±4,021","52,446","±3,725","1,210,673","±20,789","698,283","±15,494","133,328","±6,577","141,477","±4,993","1,265,599","±18,124","646,352","±13,715","318,639","±6,445","271,702","±7,529","360,427","±9,203","315,552","±8,345","129,058","±5,133","532,421","±11,407","836,997","±14,813","1,056,053","±14,355","623,551","±11,168","189,118","±7,508","539,840","±10,943","96,140","±5,175","175,106","±5,524","219,915","±8,379","161,076","±5,044","865,991","±15,211","131,172","±6,370","1,737,206","±20,743","767,125","±14,496","76,787","±3,171","1,168,344","±14,412","257,962","±7,885","387,267","±9,840","1,339,163","±18,569","121,515","±5,148","366,080","±9,855","70,155","±3,222","516,632","±10,562","1,639,129","±20,519","294,749","±8,481","72,233","±2,781","695,595","±13,662","677,050","±13,598","149,339","±5,871","675,398","±11,460","53,355","±3,379","111,762","±5,458"
"                With direct-purchase health insurance","93,242","±4,979","12,302","±2,069","113,717","±5,582","51,212","±4,022","845,946","±17,861","152,405","±7,734","79,997","±4,448","16,004","±2,019","21,553","±2,052","344,501","±11,192","166,140","±7,104","33,645","±3,447","51,103","±3,412","276,012","±9,751","128,553","±6,372","81,484","±4,199","62,215","±4,247","78,789","±4,746","87,722","±5,567","27,397","±2,478","115,283","±5,832","188,072","±8,737","201,586","±7,468","148,254","±5,135","38,279","±3,192","131,669","±7,502","33,869","±2,675","52,846","±3,274","49,958","±3,425","24,835","±2,348","150,392","±6,563","35,770","±3,082","372,223","±10,944","216,668","±6,767","23,536","±2,188","209,704","±8,454","57,978","±3,923","102,090","±5,150","278,005","±8,928","27,851","±2,562","74,240","±4,464","25,516","±2,696","119,695","±5,828","354,175","±9,933","65,909","±4,060","18,002","±1,780","166,638","±7,876","165,664","±6,445","25,304","±2,180","117,019","±4,278","12,540","±1,852","57,664","±3,450"
"                With Medicare coverage","9,805","±1,468","1,953","±611","13,793","±2,090","10,730","±1,774","68,031","±4,851","11,620","±1,846","11,805","±1,873","2,723","±666","1,835","±758","38,151","±3,752","16,028","±2,050","3,213","±1,131","3,981","±1,107","32,046","±3,226","17,009","±2,098","12,390","±1,777","10,449","±1,770","10,535","±1,615","13,054","±1,892","6,247","±1,361","13,110","±1,865","21,588","±2,626","29,116","±2,815","26,152","±2,645","6,503","±1,544","18,431","±1,909","3,971","±991","6,458","±1,348","4,835","±1,156","4,202","±1,069","17,626","±2,155","4,786","±1,035","49,045","±3,601","22,596","±2,392","3,205","±1,000","34,297","±3,073","11,289","±1,821","9,324","±1,498","37,329","±3,154","3,223","±1,171","9,796","±1,910","4,489","±916","16,466","±2,079","48,111","±3,740","5,126","±1,099","4,141","±954","18,023","±2,423","13,579","±1,949","5,582","±1,171","18,990","±1,843","2,269","±951","6,201","±1,415"
"                With Medicaid/means-tested public coverage","56,299","±4,638","14,186","±1,635","186,460","±7,811","34,914","±2,857","758,747","±15,154","85,563","±4,367","89,869","±5,967","25,616","±2,875","22,675","±3,196","247,181","±8,569","99,952","±5,728","28,971","±2,649","19,733","±2,194","252,295","±8,869","103,513","±5,252","72,090","±4,862","32,166","±3,144","60,016","±4,492","78,239","±4,787","51,064","±3,628","96,243","±6,242","260,204","±9,746","252,349","±8,112","161,726","±6,053","36,716","±3,384","93,157","±4,665","13,644","±2,210","26,124","±2,988","28,032","±3,214","14,058","±1,885","132,230","±6,605","50,782","±4,286","573,012","±15,771","139,921","±6,893","9,122","±1,571","248,024","±9,469","48,019","±3,849","62,554","±4,244","252,110","±7,868","22,826","±2,152","70,745","±4,574","11,083","±1,661","136,635","±6,324","281,915","±9,429","41,151","±4,066","31,846","±2,423","73,754","±5,339","119,385","±5,740","24,361","±3,090","176,276","±5,481","7,764","±1,601","193,485","±7,515"
